year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,uid,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2018,pennsylvania,peppers,produce,bell peppers,1200.0,900.0,8422000.0,7650.0,0.5,CC5995037A54AC274888FB315F46FC1B15B9EF886A476D6A4F57120634DD0391A05EC851E875F42740E1679DEBB711C17D4F3E43CC8996C6775D56798C206246,300.0,8.5,1100.9150326797385,1275.0,357.00000000000006,357.00000000000006,53.550000000000004,0.80325,0.16574999999999998,506.481
2018,california,blueberries,produce,blueberries,6600.0,6600.0,139755000.0,32450.0,0.5,20286B9F03800472D65B9ECC7A973487396E64E668725EAD771B557D0CCFE24732BA06A23627757BC132585AEF676EDB44EDEAE7A16C86E96074148282CB2525,0.0,4.916666666666667,4306.779661016949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,florida,blueberries,produce,blueberries,5200.0,5200.0,60404000.0,10250.0,0.5,43A7ED37BDB89A1485707C7B7A7762B299B73D34A8409B1B1D615E92EB31423BBB6BD63AFF006A4EF09B28DC0081BEAA20EE49E8BB0E343B9A24F7FF4B63E992,0.0,1.9711538461538463,5893.073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,georgia,blueberries,produce,blueberries,13300.0,13300.0,87258000.0,27250.0,0.5,F6C001398B677EE77A42E32B2375E6C34F6D04EF98F6B2E744666FC616FF753C9928DD7147D988C05E42994685A907C74ADA6C1227DB17C0345417F45509C547,0.0,2.0488721804511276,3202.1284403669724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,maine,blueberries,produce,blueberries,18800.0,18800.0,23815000.0,25200.0,0.5,DDF9E65CBB729ECC04DEFD6571E00EA513AC43F2B56B5F53412DA86E825F092FE40AB91E654E9AC46F2E0884A663A1A3B6F28049DE4040BCABE534CD6ED3CCC0,0.0,1.3404255319148937,945.0396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,michigan,blueberries,produce,blueberries,19700.0,19700.0,70226000.0,35050.0,0.5,AFFCF12770B88D800BFF44F5DD1D0EA456458091658993364486FCAFF8E5AF53C93BFEB1578CB833B59B86B34CD1E55F006FB70EE8BCB94120A6C3C3E2FD8554,0.0,1.7791878172588833,2003.5948644793152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,new jersey,blueberries,produce,blueberries,9000.0,9000.0,62441000.0,22250.0,0.5,385F7CECEBBCF84E9F81281635D344AAFDEBC513C47B9727B1CE7108810164B63882EC848C175E6F5147999BAA85188715FBB565FC7044804BF339DFC2578324,0.0,2.4722222222222223,2806.3370786516853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,north carolina,blueberries,produce,blueberries,7500.0,7500.0,57304000.0,16900.0,0.5,D7BCE77309CF8583435729EC150334D1F8433C266C5EEA80767F3514F58DDEBB094248AF143A24E79C156F0C7DF7674C27CC59B3561BCF23D73EAD9E854029FC,0.0,2.2533333333333334,3390.769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,oregon,blueberries,produce,blueberries,13500.0,13500.0,180730000.0,68750.0,0.5,98F894AD816E4EB18D04D4052D809D4CD697F70D5688B2EA37DDDD20042C53BE7CD7C780F11041E77AC56B785E9B2AFEA98DD9D997F46EC969BDBE08BAD0D7AE,0.0,5.092592592592593,2628.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,washington,blueberries,produce,blueberries,14400.0,14400.0,139177000.0,68250.0,0.5,E468DC62B7890716F95F7FA7167F72B51F424DDAF1C56D9321A539B3D98AD63F22FF56574DA807C9FD18DD52473B1CD43DBA8E17E509785126D39456514327CF,0.0,4.739583333333333,2039.2234432234432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,arizona,broccoli,produce,broccoli,10900.0,10900.0,59122000.0,65400.0,0.5,1F87A591A5696CB96201D8705712A8E5A2BCB9A3D685ED973B3DCE8ACDD3C2F0990981FF558F34C73174DBA96AB314011972231BA60607D4C64E4C5FDCEE8CC5,0.0,6.0,904.0061162079511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,broccoli,produce,broccoli,104000.0,103000.0,679405000.0,798250.0,0.5,361E5C8B47CD616E1FB9C497651C6D0341A924B36F50FAED65D48CE7DA5FE88776FF19587E5A81BAA6C2C3A745BCCA1240E8AC7F37549CE2569832D950E13E79,1000.0,7.75,851.1180707798309,3875.0,1085.0,1085.0,162.75,2.44125,0.5037499999999999,1539.3049999999998
